type,prix,adresse,image
Chaussures bébé,1 500,"HLM, Dakar, Sénégal",https://images.coinafrique.com/thumb_3704967_uploaded_image1_1653083833.jpg
Chaussures enfants ,10 000,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_3672156_uploaded_image1_1651092639.jpg
Chaussures enfants,13 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3699436_uploaded_image1_1652782683.jpg
Baskets enfant,15 000,"Biscuiterie, Dakar, Sénégal",https://images.coinafrique.com/thumb_3690626_uploaded_image1_1652255965.jpg
Chaussures enfants,7 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_3641537_uploaded_image1_1649258723.jpg
Chaussures enfants,10 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3673169_uploaded_image2_1651155111.jpeg
Chaussures enfants,10 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3673165_uploaded_image2_1651154980.jpeg
Chaussures enfants,10 000,"Parcelle Assainies, Dakar, Sénégal",https://images.coinafrique.com/thumb_3673159_uploaded_image3_1651154872.jpeg
Chaussures enfant ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3669958_uploaded_image3_1650975432.jpeg
Chaussures enfant ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3669956_uploaded_image2_1650975375.jpeg
Chaussures enfant ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3669952_uploaded_image1_1650975316.jpg
Chaussures enfant ,3 500,"Thies, Sénégal",https://images.coinafrique.com/thumb_3641983_uploaded_image1_1649278750.jpg
Chaussures enfants,7 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3641151_uploaded_image2_1649247824.jpeg
Ballerines enfant,7 000,"Grand Yoff, Dakar, Sénégal",https://images.coinafrique.com/thumb_3617411_uploaded_image1_1647863237.jpg
Baskets Air Force One ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3599487_uploaded_image1_1646755996.jpg
Chaussures enfants,5 000,"Medina, Dakar, Sénégal",https://images.coinafrique.com/thumb_3579013_uploaded_image1_1645581208.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3566813_uploaded_image1_1644828469.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3566810_uploaded_image1_1644828396.jpg
Chaussures enfants friperie ,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3544110_uploaded_image1_1643467157.jpg
Chaussures fille,2 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_3543253_uploaded_image1_1643397434.jpg
Chaussures enfants,11 000,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3537500_uploaded_image1_1643045085.jpg
Pantoufles enfant ,4 000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3533457_uploaded_image1_1642754956.jpg
Pantoufles,4 000,"Cambérène, Dakar, Sénégal",https://images.coinafrique.com/thumb_3529128_uploaded_image1_1642500345.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3528221_uploaded_image1_1642431390.jpg
Chaussures enfant friperie,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3528219_uploaded_image1_1642431351.jpg
Chaussures friperie enfants,Prix sur demande,"Colobane, Dakar, Sénégal",https://images.coinafrique.com/thumb_3526941_uploaded_image1_1642346098.jpg
